x,y
47,13
95,79
58,30
42,48
21,65
44,72
11,3
37,18
62,21
82,31
5,9
92,3
12,12
87,78
20,46
18,5
44,98
61,2
75,6
10,60
28,94
86,53
61,82
71,21
93,37
97,63
31,22
18,10
35,44
76,67
25,36
82,86
69,98
67,14
7,94
89,2
67,80
65,57
72,49
42,64
55,38
24,19
46,50
7,94
56,5
51,13
44,85
29,58
31,91
29,39
62,49
7,75
54,23
29,29
77,42
81,96
64,94
12,49
93,13
71,50
18,68
85,30
32,22
36,12
98,63
55,15
15,2
99,21
73,18
69,31
63,34
93,54
81,67
92,31
62,95
75,38
15,20
96,67
33,9
14,91
79,61
98,94
5,88
53,30
75,39
64,81
31,57
35,90
63,9
96,47
12,77
8,84
81,7
65,32
82,39
4,21
66,28
52,69
18,98
8,12
